count	reward_sum	squared_reward_sum	length
0	-138.33778651089406	10009.445487265033	1392
1	-116.40842750634812	10006.419692152382	59
2	-58.68558809483835	12.365455016258029	2000
3	-144.9570116167416	10008.577785885042	1529
4	-62.80955291752925	7.405685231013968	2000
5	-111.11611748128118	10006.59548213624	854
6	-107.1380579110677	10009.551660974232	725
7	-92.22650543683345	10007.919768452834	227
8	-95.41688274706411	10005.790831626879	154
9	-120.38310141138822	10005.763419132763	90
10	-102.26575901716373	10005.568237220352	219
11	-98.4670809542034	10003.857573420237	139
12	-115.70572040766896	10004.89473099567	70
13	-120.63995380662212	10005.144697027354	99
14	-53.18345885620411	8.82578550923148	2000
15	-101.41927097537757	10002.660156952485	66
16	-100.83003238810475	10003.046101396101	59
17	-100.98925997279402	10002.701125394333	60
18	-98.35470044009993	10003.261413170703	71
19	-96.4434273603748	10003.48697661495	138
20	-98.18093763570465	10002.157949656808	98
21	-72.41109230695616	17.14249873020842	2000
22	-103.69502467313991	10005.497879133904	368
23	-107.16918292971089	10003.102235845474	80
24	-64.37497517227358	17.950685974348115	2000
25	-111.75571234915468	10003.079479137557	50
26	-109.43441588232598	10004.834256978966	311
27	-78.78288941012885	33.40865560134308	2000
28	-134.92345291506223	10005.227485136793	729
29	-118.12845457501855	10005.440927464926	364
30	-107.78168568422882	10004.69612400019	342
31	-78.74029663087389	13.573303616964433	2000
32	-105.28097573993557	10002.055488493119	47
33	-109.99096099639964	10003.132674107559	42
34	-103.3484478313572	10005.09957964098	89
35	-100.18617948237828	10003.149028551285	171
36	-105.77852248061076	10002.093574451192	47
37	-118.13134330837771	10008.728737587517	60
38	-95.62318362615943	10009.25325028073	151
39	-111.22006886544528	10003.970946942287	41
40	-104.04616792403348	10001.344678046647	70
41	-75.53883497478088	23.255532547943094	2000
42	-102.12593641846208	10000.327150895004	97
43	-105.33435694060103	10001.269749325043	150
44	-101.33265143555326	10000.740091186439	103
45	-100.39433857400397	10000.802326662126	102
46	-115.03772813390451	10006.769682278078	173
47	-101.31012543728308	10004.538164322332	56
48	-103.01717830037357	10004.357354105838	54
49	-100.66260113757477	10004.799203299073	57
50	-100.05204019846178	10005.178700470258	88
51	-103.29439284623432	10001.355502013368	103
52	-103.41315545592829	10003.834070167628	62
53	-101.37902283436735	10002.011833728819	68
54	-99.24914375571596	10001.392587777653	82
55	-99.29157495099957	10004.933056661466	71
56	-104.17227539880015	10003.53478144825	81
57	-102.60153048975828	10003.791359222412	52
58	-100.88709258956105	10004.176747115618	65
59	-99.35544191285719	10004.17104221021	64
60	-100.56134846826751	10002.84136726001	63
61	-97.21661806206092	10002.89704031906	139
62	-101.58758562365462	10001.979265074415	69
63	-98.31114689814707	10002.34351400511	80
64	-100.8061693484382	10004.715984595305	75
65	-98.1611476612702	10002.769646533725	83
66	-96.94310477395675	10002.520595859038	97
67	-99.50598159266248	10001.35282831507	117
68	-102.9122137460274	10002.658483392262	69
69	-101.39254138632111	10001.57752226218	95
70	-99.229451841495	10001.547517985655	97
71	-101.04023085654784	10000.596351911994	129
72	-105.32983035906808	10001.824829473991	89
73	-101.02595653193693	10001.262986501046	118
74	-102.9072626026102	10001.685909846054	101
75	-99.14288022496842	10002.454654543155	103
76	-100.67087678394515	10001.373734946173	125
77	-103.27725137952375	10001.291763828372	118
78	-102.65757061911744	10001.377800765747	112
79	-103.23726610286822	10001.590396580772	99
80	-106.39511738899986	10001.948253173194	83
81	-103.52249775013307	10001.470500124966	83
82	-104.37201757046526	10001.614397139136	98
83	-102.79421514967612	10001.414425488392	107
84	-106.64669559939423	10002.256541478617	102
85	-101.98333025043799	10001.875520261012	135
86	-99.67300416714527	10001.375960603445	105
87	-102.65683121803869	10000.906864504443	132
88	-100.88351623571725	10001.348729318566	104
89	-97.86638527455476	10001.25149325547	85
90	-102.22682082784051	10000.923069364118	102
91	-99.06591098739425	10000.761653202693	77
92	-100.28980224984295	10001.036125722088	87
93	-99.62102147126369	10000.967242692363	80
94	-100.61438414478317	10000.7741322563	101
95	-101.53261251384052	10000.54424192479	94
96	-99.33420489337179	10000.753121070255	70
97	-100.01764410386639	10000.612308038246	77
98	-98.35011949146602	10001.331399685381	65
99	-91.64343720582436	4.549116426893886	2000
100	-93.25075543015885	10005.233711128154	94
101	-104.65744707906525	10004.50805593402	68
102	-100.47941571622684	10005.483632338653	93
103	-98.55071924860822	10003.26678828828	90
104	-99.00482936422915	10005.475855426197	100
105	-101.17090421740959	10001.526960342864	122
106	-178.8924921567936	10013.104352942326	1270
107	-92.21267521412777	37.32836644574781	2000
108	-125.42834965212154	10016.435728254826	1068
109	-121.18446343120652	10006.330214365715	90
110	-75.92667209227515	12.218550585964339	2000
111	-120.15498762107454	10006.06530840331	81
112	-78.18807936518279	14.671867910010157	2000
113	-116.70849025212922	25.53123122816916	2000
114	-106.29080448976906	10003.865456567242	168
115	-139.59387818914064	10016.737278002189	587
116	-115.5187833609283	10004.808533390255	54
117	-115.36710802131115	10004.70098079406	54
118	-114.70779163014198	10004.286615904753	54
119	-115.19900888359919	10005.14607721609	52
120	-116.74587845907438	10005.29188480537	57
121	-116.1822500727051	10005.572409331035	54
122	-119.38441620378134	10007.451664031776	55
123	-115.02478198435321	10004.513979551724	54
124	-122.55931548241573	10009.21573408976	63
125	-116.38873958258316	10005.169742694101	57
126	-122.3361996044116	10009.56409280308	59
127	-117.63797926587954	10006.102861634761	56
128	-115.2245156759199	10004.484611894335	55
129	-115.07595568240791	10004.604639511404	55
130	-116.03372946924407	10005.30945724097	56
131	-113.78760544248826	10003.86557749147	53
132	-116.08711289750474	10005.271625381993	55
133	-117.27976322855893	10005.708833517472	57
134	-118.2571215974645	10006.66468112933	58
135	-116.32404798554427	10005.386199311808	56
136	-123.85885354840244	10010.982694082628	59
137	-123.15654851687947	10009.783244478938	61
138	-123.73975202911049	10010.509438716483	60
139	-123.07454419005407	10009.679148621371	60
140	-125.0975556911882	10011.703398940917	59
141	-121.95979511915294	10008.580930900675	62
142	-118.22513708589288	10006.478549025942	57
143	-122.39698684278534	10009.036622913713	61
144	-119.19825423037167	10007.375018045796	54
145	-125.78311337553214	10012.049268245768	61
146	-120.10192151204791	10007.814816982534	57
147	-123.93470646200655	10010.57362655888	60
148	-123.32087395677391	10010.164741049111	59
149	-122.77267139539899	10009.452057488688	60
150	-122.53501599856062	10009.36657650571	60
151	-123.96904522913135	10010.564751058568	60
152	-123.54288093824654	10009.979274840749	61
153	-124.28709267255641	10010.892928018575	60
154	-121.07072130523436	10008.285869430525	58
155	-118.25242149812743	10006.321926904291	57
156	-122.251220690855	10009.365604302513	59
157	-123.85714819068866	10010.470428651111	61
158	-122.59481709381558	10009.541230146879	59
159	-124.15500399765037	10010.832860727716	60
160	-120.07306086754737	10008.074200795472	55
161	-121.65433279257664	10008.613073915838	61
162	-118.75361170975863	10007.07481212792	53
163	-116.75448666099024	10005.605359445706	54
164	-123.4970211639426	10010.107904304874	60
165	-118.5968365367107	10007.169186542611	53
166	-123.54498180662591	10009.935024051063	62
167	-119.69789212529889	10007.849873310188	55
168	-119.26092794183099	10007.145145793138	56
169	-122.59786335698142	10009.430115576613	59
170	-118.55985837841065	10007.065530513277	53
171	-122.5714969962691	10009.631696126915	59
172	-116.52258649117655	10005.781601896906	51
173	-121.52076562621694	10008.987516199715	56
174	-119.22204088436548	10007.388051976317	54
