count	reward_sum	squared_reward_sum	length
0	-64.406000730698	13.541111572692824	2000
1	-98.99941747775301	10004.132849922704	110
2	-97.78039137227461	10003.855593876315	112
3	-66.83122412447119	11.51102407864912	2000
4	-98.29689068812877	10004.505229238508	110
5	-108.97315431386232	10002.314186092037	58
6	-103.02418049052358	10000.665326890394	49
7	-103.95113068725914	10005.123179021668	86
8	-76.02366687735775	9.313468581847777	2000
9	-97.80993255530484	10001.851089649119	207
10	-112.41637161606923	10004.556755313253	87
11	-110.91862304345705	10003.066884060381	59
12	-114.48862914112397	10006.398807002137	118
13	-104.08275106362998	10001.64318684737	267
14	-144.28658063223702	10014.471012453356	1236
15	-128.1602424941957	10017.097008243205	83
16	-153.61841290676966	10011.571285867465	1496
17	-112.86041274201125	10005.487845921678	314
18	-111.79724523983896	10005.302551605613	99
19	-95.4581673014909	10003.021938709066	113
20	-100.74377417378128	10001.154457791103	61
21	-103.7296927664429	10004.287146300412	220
22	-100.79752322123386	10001.9291407052	114
23	-98.23030815273523	10004.36512490386	83
24	-100.00805874355137	10001.554443776542	71
25	-108.20473000733182	10002.980526366133	306
26	-104.7366965347901	10002.619352270322	81
27	-101.48528493661433	10005.818060552714	66
28	-100.18069328507408	10005.267180226096	69
29	-100.31574752973393	10005.018915782639	74
30	-99.42923777457327	10003.345241212824	70
31	-102.50930036790669	10004.544607957952	100
32	-98.38954073842615	10002.98434213173	69
33	-104.09673363529146	10002.040661355028	57
34	-99.87147597270086	10003.939005490109	68
35	-98.59092070162296	10004.365421332956	73
36	-102.89506551180966	10001.730084287716	61
37	-99.87476713676006	10005.132455285213	62
38	-103.68260955763981	10002.072826704149	72
39	-100.04931848775595	10005.789016951172	68
40	-103.94475508295	10002.57179175656	62
41	-105.06342766433954	10001.95623103541	133
42	-99.73856360465288	10001.73750270863	68
43	-102.31757407588884	10003.990831783049	70
44	-102.01330397091806	10006.679502804083	125
45	-99.13069912977517	10005.5593662066	94
46	-104.43694801814854	10006.293435490967	94
47	-96.27201499510556	10002.561871872005	70
48	-101.98528178408742	10003.855657169534	63
49	-100.01375855505466	10004.792465318593	79
50	-99.94791831076145	10003.341979313678	75
51	-101.55144933797419	10004.869208873777	76
52	-99.31359593849629	10002.91348144003	79
53	-102.38511383160949	10002.71581665297	124
54	-101.06417505489662	10002.62747402475	93
55	-101.37324192561209	10002.082687030792	70
56	-98.70298156514764	10004.378124325985	74
57	-122.73608596622944	10008.274828690086	69
58	-98.81510900706053	10003.989880522204	79
59	-117.22149609215558	10006.084984606792	105
60	-97.7152260132134	10005.256611429795	98
61	-98.3731609787792	10006.103038873647	179
62	-101.23269814718515	10003.501048599512	87
63	-95.32530009560287	10006.661538040918	162
64	-98.28763129911385	10003.173546385044	167
65	-99.28766548074782	10003.47535123796	76
66	-97.72070362837985	10002.99739402623	84
67	-93.52016814984381	10004.60342769252	143
68	-108.07265272410586	10012.668327466003	276
69	-110.61965644173324	10003.61546475257	48
70	-95.7225308965426	10005.786659559117	132
71	-96.09355819271877	10005.67808953091	148
72	-99.27883999422193	10004.057101374729	209
73	-145.93621467147022	10013.623012850085	1069
74	-100.3417476885952	10002.880754423666	106
75	-106.29241232969798	10004.98401344046	184
76	-57.60353231197223	10.008862151984161	2000
77	-66.78844067128375	3.9111289089854577	2000
78	-128.2626458108425	10015.74529456259	75
79	-91.92632954055443	10005.825398235416	144
80	-98.41695692762733	10003.087054441228	71
81	-136.81513098813593	10017.740776851693	132
82	-110.73616148158908	10002.805326544427	49
83	-111.12202282063663	10002.917458006905	56
84	-122.31722742225975	10006.480798049975	105
85	-135.31133244093508	10012.669586037662	155
86	-106.535818627337	10004.018783965385	85
87	-99.14965515281074	10001.828168378894	71
88	-101.76463575102389	10001.844604445634	93
89	-96.42133306758478	10003.867168115736	94
90	-98.93532087281346	10003.493437821597	73
91	-104.32304666843265	10002.31920598134	51
92	-96.35955704655498	10002.580564039046	75
93	-109.49065323965624	10003.669239792103	98
94	-104.68655880494043	10000.927905365883	85
95	-103.47802705946378	10001.050687903771	85
96	-104.94538699556142	10001.570516546359	62
97	-101.64336575847119	10001.797319111733	157
98	-101.92049244744703	10000.588756720834	63
99	-105.01461847964674	10001.287710011942	85
100	-97.0071093486622	10003.453913493788	73
101	-98.05137451179326	10002.199120041616	63
102	-103.61597299389541	10001.695448525807	100
103	-98.82975438423455	10001.020727811509	69
104	-105.72593927523121	10001.213148655946	70
105	-97.98123090341687	10000.904458963065	55
106	-97.15364845842123	10001.725451792652	99
107	-96.51782113220543	10001.348548149383	61
108	-100.09567355643958	10000.76412391442	63
109	-98.4623587699607	10001.366883417313	56
110	-96.05471261311322	10001.500246304195	65
111	-95.9046788783744	10002.020941755794	82
112	-97.59041889419314	10001.92359388413	77
113	-96.78131531644613	10001.462754231152	58
114	-98.05550660891458	10002.393490989622	58
115	-97.6840808019042	10001.068444524837	54
116	-98.646543671377	10000.796084094194	58
117	-90.94136134302244	10006.16962529555	218
118	-101.88789715291932	10000.943067037364	61
119	-98.34845898626372	10000.785315110781	53
120	-100.68405064428225	10000.945622873063	57
121	-96.6939893765375	10001.558860665065	104
122	-97.5295228511095	10001.114731103957	66
123	-98.03109393757768	10001.269464272624	65
124	-97.77541819214821	10001.07627528405	61
125	-95.17469681007788	10002.47852537393	91
126	-99.20183098688722	10001.962796456568	71
127	-98.00194096192718	10006.079165884974	143
128	-103.12793303310173	10002.388798282445	61
129	-106.23125551594421	10002.29225444525	64
130	-146.6357013056986	10009.049802583571	945
131	-71.00240819827013	8.83590493522588	2000
132	-103.26090582180768	10002.281679274789	171
133	-98.54152415785939	10001.767948465467	106
134	-100.72976685222238	10007.599010278314	374
135	-98.96502021420747	10001.616140620026	83
136	-115.91790655860677	10012.692947326306	645
137	-72.20662232261384	9.16445218619678	2000
138	-103.31121207680553	10000.508443960196	137
139	-101.24827747000381	10000.379657496094	61
140	-86.0072209816426	10.19511078925458	2000
141	-125.55747827049345	10013.967321186912	81
142	-122.46057685092092	10011.962010247982	61
143	-118.39426369871944	10009.039895099759	58
144	-123.71126283053309	10012.95785381839	86
145	-120.9339709863998	10012.156322190589	60
146	-120.86848777811974	10012.118932726942	64
147	-121.15210018027574	10011.987562798682	65
148	-122.41693257540464	10013.988994977411	65
149	-117.91120363376103	10010.038925604607	60
150	-122.75646961480379	10014.597026621614	63
151	-116.92288391245529	10008.847192217507	58
152	-119.671894014813	10011.517204257922	62
153	-114.83032558904961	10006.441818529685	59
154	-117.08046675752848	10007.883975504925	67
155	-117.44508042279631	10009.185306708272	60
156	-119.45245188847184	10010.509873909446	69
157	-113.87652374245226	10004.674494157449	63
158	-119.80342424008995	10011.089535306572	70
159	-111.89363071136177	10004.321350124395	50
160	-116.32229183346499	10007.407849019439	69
161	-116.69960612198338	10008.168905838415	64
162	-117.09299650695175	10008.201236831512	69
163	-109.76996743027121	10003.267432212244	44
164	-112.42771861515939	10004.124352654742	55
165	-76.60929543804377	7.532443451400043	2000
166	-114.13554825866595	10006.45203336839	126
167	-97.23974195867777	10002.856341259334	97
168	-101.11647369898856	10000.31191068906	66
169	-103.18758340133354	10002.14135408871	137
170	-98.96560669736937	10000.821627240117	114
171	-110.46228265436366	10002.344701956255	363
172	-119.84174726472702	10007.095767064608	150
173	-121.5860919719562	10005.989611067573	187
174	-116.45820524729788	10004.568116219432	354
175	-102.08717333059758	10004.550582955666	193
176	-116.19945850997465	10003.55324415492	522
177	-70.4291866623098	14.253502958486704	2000
178	-103.34294320642948	10003.884579967875	117
179	-68.91832667903509	4.668446238147213	2000
180	-68.52143602317665	11.069862206023009	2000
181	-60.466354059346486	16.149857233964106	2000
182	-58.96317531209206	16.88897750744349	2000
183	-99.12807127274573	10003.525179669587	93
184	-96.84018388204277	10005.545509692602	83
185	-99.57928275782615	10003.916870856345	114
186	-99.359728500247	10003.926094122318	83
187	-100.43146549910307	10002.805245997366	103
188	-147.93335461395327	10004.79797248244	1177
189	-98.59101274982095	10002.33710441432	80
190	-97.13424851931632	10002.989568563495	73
191	-100.19406409747899	10001.852145615989	97
192	-98.13335546664894	10003.094792200538	73
193	-101.08819052157924	10002.226427366199	115
194	-97.86143266409636	10002.763526858369	85
195	-110.1742827007547	10003.656659892235	333
196	-97.28062377963215	10003.446503623638	78
197	-126.5172187446733	10005.294602637678	771
198	-98.85346727911383	10001.601862157968	89
199	-102.67955769179389	10000.309658912915	38
200	-98.93826193548739	10002.10406144225	82
201	-97.70652542822063	10002.892207812176	86
202	-97.5676099860575	10002.04798715809	96
203	-134.72536367876455	10006.93168171786	332
204	-105.34854599554092	10003.90967549769	163
205	-106.04272853420116	10004.256035555005	211
206	-106.44525012513623	10001.631277177006	49
207	-118.98388857021928	10007.520139891492	440
208	-98.08578976243734	10005.621969451931	85
209	-96.32767006382346	10005.620859864512	84
210	-98.88747561490163	10002.234197558142	89
211	-110.18823261512443	10008.66615241424	555
212	-108.72009240323678	10007.800587313086	630
213	-93.69012290029787	10002.83303593648	219
214	-97.21132465125993	10004.534830438803	141
215	-83.59041539090686	10013.2076950415	542
216	-89.17823368241079	10009.63224175335	768
217	-86.86410341202281	10010.886004780397	450
218	-106.87040852662176	10002.36768996901	189
219	-109.52539062337019	10001.351389293754	291
220	-106.65664175304119	10010.22506047334	434
221	-103.64893522090279	10008.079685019538	620
222	-55.13628273096401	16.28929024011005	2000
223	-147.47608339745784	10011.624381885611	1946
224	-73.00162013506633	10.897032144354618	2000
225	-114.70100087206811	10007.067581231227	132
226	-58.18356736225542	6.896717443001052	2000
227	-49.28497849579435	6.89506778226849	2000
228	-105.66049211332574	10001.714329196666	110
229	-104.96406299807131	10001.570010560063	68
230	-103.51069049723446	10001.852197217453	105
231	-118.62108503654599	10003.438829793064	489
232	-114.42444885219447	10012.11885720919	1162
233	-91.61353714670986	6.291666970225127	2000
234	-105.08388854749501	10002.040223379447	65
235	-105.52045230474323	10001.822076849678	104
236	-103.60389026417397	10001.439632046024	77
237	-103.86265386990272	10001.45556462694	147
238	-104.80098491720855	10001.676203495383	138
239	-103.68416574131697	10001.549490406038	81
240	-114.55867248494178	10006.76550844075	286
241	-104.55386701924726	10005.102430175655	211
242	-104.23729446996003	10004.704952347756	71
243	-77.04337916336954	10013.886823122752	260
244	-96.43409700971097	10001.877770762665	55
245	-101.70496999053285	10004.017717450322	133
246	-87.82841016817838	10019.944490377531	1410
247	-178.95718410681002	10019.191947162632	1789
248	-15.49556520592887	10029.393599995603	1200
249	-10.944111422286369	9.364749404266169	2000
250	-104.579433017876	10005.089130998329	212
251	-71.32882593083195	10012.013665958422	345
252	-83.6146275177598	10011.707438650803	281
253	214.25214170501567	58.59673616700048	2000
254	-51.27692084154114	10015.658437252892	564
255	-27.13153128128033	10022.04139344256	695
256	-7.679122760426253	10021.663667517309	647
257	-87.85160183114931	9.87934135552447	2000
258	-64.84130256436765	10014.248922518911	323
259	-30.93911961687263	10018.519401928323	541
260	-124.29914805153385	10014.822380902784	217
261	282.977371500805	73.14193282434263	1805
262	-96.4536057645455	10001.99596987497	82
263	286.8575263370294	70.11113134324846	1690
264	-9.844676930457354	10023.953132975887	653
265	294.71209194744006	74.78561810304669	1645
266	288.9398436390329	75.19205141106396	1673
267	294.0770320482552	81.57243727563343	1617
268	-87.72108977125026	5.323916549010145	2000
269	-92.12694201606791	8.4881251517605	2000
270	-88.58550444082357	7.005795862496891	2000
271	-102.40704124374315	10001.542986734526	85
272	-97.42682349961251	10002.320659778949	67
273	-104.64839305588976	10002.350861111292	251
274	-117.26712184445933	10004.490554589423	502
275	-100.64791679568589	10001.860812959287	151
276	-112.90356738260016	10003.451266525315	491
277	-109.54045148496516	10002.92948630918	356
278	-101.55918635940179	10001.64761711498	150
279	-113.81510574048298	10003.765298944463	538
280	-100.60319583676755	10001.490835774335	115
281	-98.68414701521397	10002.223271078985	109
282	-109.53283739415929	10002.576934237748	142
283	-106.84145723492838	10002.240995796636	227
284	295.28531522350386	85.52716183463485	1510
285	108.52898576389998	10062.007197048224	1055
286	137.91803442966193	10084.737849560204	970
287	299.2201218511909	90.8559513671405	1368
288	301.29894977109507	91.33396779670497	1377
289	308.9683085248107	94.96612942088225	1254
290	303.80999286007136	95.43047983967955	1289
291	308.5892511596903	105.00922395785908	1161
292	-97.3774436363019	10001.258691389936	87
293	310.6911341333762	96.16561199537459	1246
294	309.7567218854092	104.82067397132124	1172
295	312.0142171466723	97.22709297767015	1181
296	312.40830426150933	99.59717825012264	1129
297	-25.452816911041737	10020.879467401142	396
298	308.285062818788	100.05954676440393	1238
299	313.3865712657571	105.3592959101276	1088
300	310.2322335797362	99.78877910813569	1166
301	311.6656972533092	101.39834656447584	1167
302	-9.082311536651105	10028.715251802414	375
303	305.92095556715503	94.01787178414168	1289
304	313.5437628515065	102.44741189550993	1094
305	313.1327366735786	105.46330534558129	1072
306	312.0318366885185	108.4254632134845	1079
307	313.5262711495161	108.4079202305092	1064
308	317.3600697433576	120.44498284234577	951
309	316.6120783574879	117.36980410734887	985
310	315.18146588327363	114.85044195655402	1020
311	312.32152686826885	106.9945164392165	1062
312	312.66257503814995	108.55265111747045	1060
313	78.41991241439246	10073.008827662268	554
314	318.24756969558075	123.74416685060574	941
315	316.7005593786016	120.70547157914783	971
316	165.94945726543665	10099.841203152368	935
317	52.783648680429906	10068.295799328731	647
318	97.7727051624097	10087.279814348507	592
319	314.0936297895387	114.67061707048018	1007
320	318.0144523475319	132.45762361094674	873
321	318.0297121233307	127.99742730160678	916
322	60.57845841255039	10071.017138895642	452
323	25.68255797587335	10053.058228534022	376
324	316.33444546628743	117.15673398650883	1004
325	315.447987372987	119.23168620860632	977
326	313.36895270459354	117.63604985977224	1002
